word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
intolerant,in'tɔlәrәnt,a. unwilling to tolerate difference of opinion,"a. 不容忍的, 不容异说的, 偏执的, 偏狭的, 不宽容的, 不耐的, 不耐性的",,1,,,18989,15308,,,
intorsion,in'tɔ:ʃәn,"n. A winding, bending, or twisting.\nn. The bending or twining of any part of a plant toward one\n   side or the other, or in any direction from the vertical.","(=intortion)[植](茎的) 螺旋形盘绕, 绕缠, (象植物茎那样的)卷绕、弯曲或扭绞, 内转",,,,,0,0,,,
intra-,'intrә," A prefix signifying in, within, interior; as, intraocular,\n   within the eyeball; intramarginal.","pref. 内, 在内\n[医] 内, 在内",,,,,0,0,,,
intro-,'intrәj," A prefix signifying within, into, in, inward; as, introduce,\n   introreception, introthoracic.","表示“向内, 在内”之义",,,,,0,0,,,
introduce,.intrә'dju:s,"v. cause to come to know personally\nv. bring something new to an environment\nv. bring in or establish in a new place or environment\nv. bring before the public for the first time, as of an actor, song, etc.","vt. 介绍, 引入, 采用, 输入\n[法] 引进, 输入, 介绍",,4,1,zk gk cet4 cet6 ky,698,1225,d:introduced/i:introducing/p:introduced/3:introduces,,
introduction,.intrә'dʌkʃәn,n. the act of beginning something new\nn. the first section of a communication\nn. a basic or elementary instructional text\nn. a new proposal,"n. 介绍, 传入, 采用, 初步",,2,1,zk gk cet4 cet6 ky ielts,1379,2904,s:introductions,,
inundate,'inʌndeit,"v. fill or cover completely, usually with water","vt. 浸水, 泛滥, 淹没, 使充满",,1,,toefl ielts gre,13958,13018,d:inundated/p:inundated/i:inundating/3:inundates,,
invade,in'veid,"v. march aggressively into another's territory by military force for the purposes of conquest and occupation\nv. occupy in large numbers or live on a host\nv. penetrate or assault, in a harmful or injurious way","vt. 侵入, 拥入, 侵略, 侵袭\n[法] 强入, 侵犯, 侵略",,2,,cet4 cet6 ky toefl ielts gre,5557,4510,p:invaded/d:invaded/i:invading/3:invades,,
invagination,"in,vædʒi'neiʃәn",n. the condition of being folded inward or sheathed\nn. the folding in of an outer layer so as to form a pocket in the surface,"n. 入鞘, 凹入, 反折, 反折处, 凹入部分, 肠套叠\n[医] 折入, 凹入, 内陷, 套迭",,,,,0,0,s:invaginations,,
invaginations,,plural of invagination\nn. the condition of being folded inward or sheathed\nn. the folding in of an outer layer so as to form a pocket in the surface,"(invagination 的复数) n. 入鞘, 凹入, 反折, 反折处, 凹入部分, 肠套叠\n[医] 折入, 凹入, 内陷, 套迭",,,,,0,0,0:invagination/1:s,,
invalid,in'vælid,"n. someone who is incapacitated by a chronic illness or injury\nv. force to retire, remove from active duty, as of firemen\na. having no cogency or legal force\ns. no longer valid","n. 病人, 残废者\na. 有病的, 无效的",,1,,cet6 ky toefl ielts,7986,17470,s:invalids/i:invaliding/p:invalided/3:invalids/d:invalided,,
invasion,in'veiʒәn,n. the act of invading; the act of an army that invades for conquest or plunder\nn. any entry into an area not previously occupied\nn. (pathology) the spread of pathogenic microorganisms or malignant cells to new sites in the body,"n. 侵犯, 侵入, 侵害\n[医] 侵袭, 侵入, 发病",,3,,cet4 cet6 ky toefl,3416,3295,s:invasions,,
invent,in'vent,"v. come up with (an idea, plan, explanation, theory, or principle) after a mental effort","vt. 发明, 创作, 虚构\n[机] 发明",,2,1,zk gk cet4 cet6 ky,3639,3398,d:invented/p:invented/i:inventing/3:invents,,
invest,in'vest,v. make an investment\nv. furnish with power or authority; of kings or emperors\nv. provide with power and authority,"vt. 投资, 花费, 笼罩, 授予\nvi. 投资, 利用",,3,1,cet4 cet6 ky ielts,2329,2001,d:invested/i:investing/p:invested/3:invests,,
investigate,in'vestigeit,v. investigate scientifically\nv. conduct an inquiry or investigation of,"v. 调查, 审查",,4,1,cet4 cet6 ky toefl ielts gre,1708,1802,d:investigated/i:investigating/p:investigated/3:investigates,,
investigative,in'vestigeitiv,s designed to find information or ascertain facts,"a. 审查的, 调查的, 好研究的\n[法] 调查的, 审查的, 受调查研究的",,1,,,11650,6853,,,
investor,in'vestә,n. someone who commits capital in order to gain financial returns,n. 投资者\n[经] 投资者,,4,,,2459,1702,s:investors,,
invitation,.invi'teiʃәn,n. a request (spoken or written) to participate or be present or take part in something\nn. a tempting allurement,"n. 邀请, 请柬, 引诱\n[经] 邀请, 招待, 吸引",,3,1,gk cet4 cet6 ky,3177,4072,s:invitations,,
invite,in'vait,n. a colloquial expression for invitation\nv. increase the likelihood of\nv. invite someone to one's house\nv. ask someone in a friendly way to do something,"vt. 邀请, 请求, 引起, 招致\nn. 邀请",,4,1,zk gk cet4 cet6 ky,1502,1601,d:invited/p:invited/3:invites/i:inviting,,
invoke,in'vәuk,v. cite as an authority; resort to,"vt. 祈求, 恳求, 实行, 援引, 引起\n[计] 调用; 请求",,1,,toefl gre,5725,5414,d:invoked/i:invoking/p:invoked/3:invokes,,
involuntary,in'vɒlәntәri,a. not subject to the control of the will\na. controlled by the autonomic nervous system; without conscious control,"a. 自然而然的, 无意识的, 不知不觉的, 偶然的, 不随意的\n[医] 不随意的",,1,,toefl gre,9830,11042,,,
involved,in'vɔlvd,a. connected by participation or association or use\ns. entangled or hindered as if e.g. in mire\ns. emotionally involved\ns. enveloped,"a. 难懂的, 复杂的, 不易懂的, 卷入...之中的, 累及..., 与...有关, 被纠缠的\n[计] 包含, 涉及",,4,,toefl,1031,1174,0:involve/1:dp/d:involved/p:involved,,
involvement,in'vɔlvmәnt,n. a connection of inclusion or containment,"n. 卷入, 牵连, 包含, 困窘\n[经] 财政困难, 经济上的困窘",,3,1,,2139,2311,s:involvements,,
inwardly,'inwәdli,r. with respect to private feelings,"adv. 在内部, 向中心, 向内, 内里, 在心灵深处, 精神上, 思想上, 暗自地\n[机] 向内的, 向内里",,,,,12697,17115,,,
inwardness,'inwәdnis,n. preoccupation especially with one's attitudes and ethical or ideological values\nn. the quality or state of being inward or internal\nn. preoccupation with what concerns human inner nature (especially ethical or ideological values),"n. 本质, 深意, 灵性, 精神性, 思想的深度, 诚挚, 感情的深度",,,,,47285,32769,,,
iotacism,ai'әutәsizm,"n. The frequent use of the sound of iota (that of English e\n   in be), as among the modern Greeks; also, confusion from sounding /, /,\n   /, /, //, etc., like /.",希腊字母I(iota)或其发音的过分使用和重复,,,,,0,0,,,
IP,,"n the sciences concerned with gathering, manipulating, storing, retrieving, and classifying recorded information","[计] 初始排列, 指令指示器, 互连网协议",,,,,30701,0,s:ips/3:ips,,
ipecacuanha,.ipikækju'ænә,"n. The root of a Brazilian rubiaceous herb (Cephaelis\n   Ipecacuanha), largely employed as an emetic; also, the plant itself;\n   also, a medicinal extract of the root. Many other plants are used as a\n   substitutes; among them are the black or Peruvian ipecac (Psychotria\n   emetica), the white ipecac (Ionidium Ipecacuanha), the bastard or wild\n   ipecac (Asclepias Curassavica), and the undulated ipecac (Richardsonia\n   scabra).","n. 吐根, 吐根树\n[医] 吐根",,,,,0,0,,,
ipomoea,",ipә'mi:ә, ,aipә'mi:ә",n morning glory,"[植]番薯属(Ipomoea)植物(包括圆叶牵牛, 紫花牵牛), 番薯(白薯, 山芋, 地瓜)",,,,,0,0,,,
Irish,'airiʃ,n. people of Ireland or of Irish extraction\nn. whiskey made in Ireland chiefly from barley\nn. the Celtic language of Ireland,"n. 爱尔兰人, 爱尔兰语\na. 爱尔兰的",,,,gk,1592,2930,,,
iron,'aiәn,n. a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood\nn. a golf club that has a relatively narrow metal head\nn. implement used to brand live stock\nn. home appliance consisting of a flat metal base that is heated and used to smooth cloth,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐\nvt. 烫平, 熨, 用铁包\nvi. 烫平",,3,1,zk gk cet4 cet6 ky,1877,2280,s:irons/d:ironed/i:ironing/p:ironed/3:irons,,
irradiate,i'reidieit,v. cast rays of light upon\nv. expose to radiation,"vt. 照耀, 启发, 使灿烂, 放射\nvi. 发光, 变灿烂",,1,,toefl gre,24681,26774,d:irradiated/i:irradiating/p:irradiated/3:irradiates,,
irrelevancy,,n the lack of a relation of something to the matter at hand,"n. 无关, 离题, 不中肯, 不相干, 不相干的话, 无关的事实, 枝节问题\n[法] 无关联的事, 离题, 不相平",,,,,33794,30316,s:irrelevancies,,
irrelevant,i'relәvәnt,a. having no bearing on or connection with the subject at issue,"a. 不恰当的, 无关系的, 不相干的\n[法] 无关的, 不相干的, 离题的",,2,,toefl,4498,5782,,,
irreparable,i'repәrәbl,"a. impossible to repair, rectify, or amend","a. 不能修补的, 不能挽回的\n[法] 不可弥补的, 不可挽回的",,1,,toefl,20563,20436,,,
irreversible,",iri'vә:sәbl,-sib-",a. incapable of being reversed,"a. 不可逆的, 不可改变的, 不能倒置的, 不能翻转的, 不能倒转的, 不可撤销的\n[计] 不可逆的",,1,,toefl,11691,12545,,,
irritability,.iritә'biliti,n. an irritable petulant feeling,"n. 易怒, 刺激物, 兴奋性\n[医] 应激性, 兴奋性, 刺激感受性, 兴奋增盛, 过敏",,,,,21959,19072,,,
irritate,'iriteit,"v. excite to an abnormal condition, or chafe or inflame\nv. excite to some characteristic action or condition, such as motion, contraction, or nervous impulse, by the application of a stimulus","vt. 激怒, 使发怒, 使兴奋, 使发炎\nvi. 引起不快",,2,1,cet6 ky toefl ielts gre,7783,8466,d:irritated/p:irritated/3:irritates/i:irritating,,
irritated,'iriteitid,"v cause annoyance in; disturb, especially by minor irritations\nv excite to an abnormal condition, or chafe or inflame\nv excite to some characteristic action or condition, such as motion, contraction, or nervous impulse, by the application of a stimulus\ns aroused to impatience or anger","a. 被激怒的, 生了气的, 变粗的, 因刺激而发炎的, 发红的",,,1,,21219,15901,0:irritate/1:dp/d:irritated/p:irritated,,
is,iz,"v have the quality of being; (copula, used with an adjective or a predicate noun)\nv be identical to; be someone or something\nv occupy a certain position or area; be somewhere\nv have an existence, be extant\nv happen, occur, take place; this was during the visit to my parents' house""\nv be identical or equivalent to\nv form or compose\nv work in a specific place, with a specific subject, or in a specific function\nv represent, as of a character on stage\nv spend or use time\nv have life, be alive\nv to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form\nv be priced at","be的现在式第三人称\n[计] 加下标次序, 信息系统, 国际标准, 中间系统",,,,,24648,0,0:be/1:3,,
Islam,'izlɑ:m,n. the civilization of Muslims collectively which is governed by the Muslim religion\nn. the monotheistic religious system of Muslims founded in Arabia in the 7th century and based on the teachings of Muhammad as laid down in the Koran,n. 伊斯兰教,,3,,cet6,7360,3097,,,
Islamic,iz'læmik,a of or relating to or supporting Islamism,"a. 伊斯兰教的, 穆斯林的",,3,,,4904,2596,,,
island,'ailәnd,n. a land mass (smaller than a continent) that is surrounded by water\nn. a zone or area resembling an island,"n. 岛, 岛屿, 孤立地区, 安全岛\nvt. 使成岛状, 孤立",,4,1,zk gk cet4 cet6 ky ielts,982,1512,s:islands,,
isle,ail,n. a small island,"n. 小岛, 群岛\nvt. 使成为岛状\nvi. 住在岛屿上",,2,,ky ielts,3274,19025,s:isles,,
iso-,'aisәj, Alt. of Is-,"pref. 相等, 异构, 同种\n[医] 相等, 均等, 同族, 同种, 异构",,,,,0,0,,,
isologous,ai'sɔlә^әs,"a. Having similar proportions, similar relations, or\n   similar differences of composition; -- said specifically of groups or\n   series which differ by a constant difference; as, ethane, ethylene, and\n   acetylene, or their analogous compounds, form an isologous series.",[化]同构异素的,,,,,0,0,,,
isometric,",aisәu'metrik",a. related by an isometry\na. of or involving muscular contraction in which tension increases while length remains constant\ns. having equal dimensions or measurements,"a. 立方的, 等体积的, 等容积的, 等比例的, 等径的, 等距离的, 等角的\n[计] 等角的, 等距的, 等轴的, 等体积的",,,,,45612,29732,s:isometrics,,
Israeli,iz'reili,n. a native or inhabitant of Israel\na. of or relating to or characteristic of Israel or its people,"a. 以色列的, 以色列人(语)的\nn. 以色列人",,,,,4446,2085,s:israelis,,
issue,'isju,n. an important question that is in dispute and must be settled\nn. one of a series published periodically\nn. the act of providing an item for general use or for official purposes (usually in quantity)\nn. supplies (as food or clothing or ammunition) issued by the government,"n. 发行, 问题, 后果, 流出, 出口, 争端\nvi. 发行, 流出, 造成...结果, 传下\nvt. 使流出, 放出, 发行, 发布, 发给",,5,1,cet4 cet6 ky toefl ielts gre,341,248,s:issues/d:issued/p:issued/i:issuing/3:issues,,
it,it,n the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information,"pron. 它\n[计] 信息论, 输入终端, 智能终端, 内捕获",,5,1,zk gk,9,10,,,
Italianism,i'tæljәnizm,"n. A word, phrase, or idiom, peculiar to the Italians; an\n   Italicism.\nn. Attachment to, or sympathy for, Italy.","n. 意大利风格, 意大利精神, 意大利词语",,,,,0,0,,,
item,'aitәm,n. a distinct part that can be specified separately in a group of things that could be enumerated on a list\nn. a whole individual unit; especially when included in a list or collection\nr. (used when listing or enumerating items) also,"n. 项目, 条款, 一则, 项\n[计] 项",,4,1,cet4 ky ielts,950,1031,s:items,,
its,its,n the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information,pron. 它的,,5,1,zk gk,58,78,,,
jab,dʒæb,n. a sharp hand gesture (resembling a blow)\nn. a quick short straight punch\nv. poke or thrust abruptly\nv. strike or punch with quick and short blows,"v. 刺, 戳, 猛击\nn. 刺, 戳, 猛击",,1,,,16244,11904,p:jabbed/i:jabbing/s:jabs/3:jabs/d:jabbed,,
Jabroni,,"A loser, poser, lame-ass.\r\n\r\nOne who talks the talk, but could never walk the walk.\r\n\r\nOne who talks shit and doesn't back it up, but rather ends up eating their shit in return.\r\n\r\nA fuckin 'tard.\n> Bill: ""Hey Bob, you're a big pussy!""\n> Bob: ""oh yeah, well..(breaks Bill's face in half)...who's the fuckin' pussy now you fuckin Jabroni?!""\n> Damn Jabroni's, I'm always breaking my foot off in their asses!\n",,,,,,0,0,,,
jack,dʒæk,n. a small worthless amount\nn. a small ball at which players aim in lawn bowling\nn. an electrical device consisting of a connector socket designed for the insertion of a plug\nn. game equipment consisting of one of several small six-pointed metal pieces that are picked up while bouncing a ball in the game of jacks,"n. 插座, 千斤顶, 男人\nvt. 抬起, 提醒, 扛举, 增加, 提高, 放弃\na. 雄的\n[计] 插座",,2,,cet6,1652,11765,s:jacks/p:jacked/i:jacking/d:jacked/3:jacks,,
jacket,'dʒækit,n. a short coat\nn. an outer wrapping or casing\nn. the outer skin of a potato\nn. the tough metal shell casing for certain kinds of ammunition,"n. 夹克, 外套, 护套\nvt. 给...穿夹克, 给...装护套",,3,1,zk gk cet4 cet6 ky ielts,2400,2267,s:jackets/i:jacketing/p:jacketed/3:jackets/d:jacketed,,
jackpot,'dʒækpɔt,n. any outstanding award,"n. 最大赌注, (彩票的)头奖, 最大成功, 意外的成功/奖赏, 困境",,1,,,22290,16573,s:jackpots,,
jalap,'dʒælәp,"n. The tubers of the Mexican plant Ipomoea purga (or Exogonium\n   purga), a climber much like the morning-glory. The abstract, extract,\n   and powder, prepared from the tubers, are well known purgative\n   medicines. Other species of Ipomoea yield several inferior kinds of\n   jalap, as the I. Orizabensis, and I. tuberosa.",n. 泻药\n[化] 球根牵牛,,,,,0,0,,,
jam,dʒæm,n. preserve of crushed fruit\nv. push down forcibly\nv. crush or bruise\nv. interfere with or prevent the reception of signals,"n. 果酱, 拥塞之物, 堵塞, 困境\nvt. 挤进, 使塞满, 混杂, 压碎, 使堵塞\nvi. 堵塞, 轧住, 拥挤",,2,1,gk cet4 cet6 ky ielts,5571,5470,d:jammed/s:jams/i:jamming/p:jammed/3:jams,,
james,dʒeimz,n. a Stuart king of Scotland who married a daughter of Henry VII; when England and France went to war in 1513 he invaded England and died in defeat at Flodden (1473-1513)\nn. the last Stuart to be king of England and Ireland and Scotland; overthrown in 1688 (1633-1701)\nn. the first Stuart to be king of England and Ireland from 1603 to 1625 and king of Scotland from 1567 to 1625; he was the son of Mary Queen of Scots and he succeeded Elizabeth I; he alienated the British Parliament by claiming the divine right of kings (1566-1625),"n. 詹姆斯（姓氏, 男子名）；[圣]《雅各书》",,,,,981,0,0:jame/1:s3,,
jar,dʒɑ:,n. a vessel (usually cylindrical) with a wide mouth and without handles\nn. the quantity contained in a jar\nv. shock physically\nv. affect in a disagreeable way,"n. 广口瓶, 震动, 刺耳声\nvi. 震惊, 冲突, 发刺耳声, 不一致\nvt. 震动, 刺激",,2,,gk cet4 cet6 ky toefl gre,5688,4262,s:jars/p:jarred/i:jarring/d:jarred/3:jars,,
jardiniere,",ʒɑ:di'njeә","n. An ornamental stand or receptacle for plants, flowers,\n   etc., used as a piece of decorative furniture in room.","n. 花盆架, 肉食的配头, 盖交",,,,,0,0,,,
jaunty,'dʒɒ:nti,"s marked by up-to-dateness in dress and manners\ns having a cheerful, lively, and self-confident air","a. 快活的, 活泼的, 轻快的",,1,,gre,20926,18576,,,
jealous,'dʒelәs,s. suspicious or unduly suspicious or fearful of being displaced by a rival,"a. 嫉妒的, 羡慕的, 留心的, 戒备的",,2,1,cet4 cet6 ky toefl ielts,5696,6322,,,
jeans,dʒi:nz,n (usually plural) close-fitting trousers of heavy denim for manual work or casual wear\nn a coarse durable twill-weave cotton fabric,"n. 工装裤, 牛仔裤",,2,1,zk gk cet4 ky ielts,4826,3421,s:jeans/0:jeans/1:s,,
jeer,dʒiә,n. showing your contempt by derision\nv. laugh at with contempt and derision,"n. 嘲笑, 讥讽, 戏弄\nv. 嘲弄, 揶揄, 戏弄",,1,,toefl ielts gre,15455,19977,p:jeered/s:jeers/d:jeered/i:jeering/3:jeers,,
jejemon,,"1) Usually seen around social networking sites such as Friendster and Multiply, jejemons are individuals with low IQs who spread around their idiocy on the web by tYpFing LyK diZS jejejeje, making all people viewing their profile raise their eyebrows out of annoyance. Normal people like [you] and me must take a Bachelor of Arts in [Jejetyping] in order to understand said individuals, as deciphering their text would cause a lot of frustration and hair pulling.\n\nCAUTION: THESE INDIVIDUALS ARE BREEDING! THEY CAN BE SEEN WRECKING GRAMMATICAL HAVOC ON FACEBOOK TOO!\n\n2) Jejemons are not just confined to trying-hard Filipino gangsters and emos. A Jejemon can also include a variety of Latino-Hispanic fags who enjoy typing ""jejejejeje"" in a wider context, much to the disdain of their opponents in an internet [MMORPG] game such as Ragnarok and [DOTA].\n\n3) Basically anyone with a low tolerance in correct punctuation, syntax and grammar. Jejemons are usually hated or hunted down by [Jejebusters] or the [grammar nazi] to eradicate their grammatical ways.\n> On AIM or YM:\n> miSzMaldiTahh111: EoW pFuOh!\n> You: Huh?\n> miszMaldiTahh111: i LLyK tO knOw moR3 bOut u, PwfoH. crE 2 t3ll mE yur N@me? jejejejeje!\n> You: You are a jejemon! Don't talk to me, you uneducated retard!\n> miszMaldiTahh111: T_T\n",,,,,,0,0,,,
jelly,'dʒeli,n. a preserve made of the jelled juice of fruit\nn. any substance having the consistency of jelly or gelatin,"n. 果冻, 果冻甜食, 胶状物\nv. (使)结冻, (使)成胶状",,1,1,cet6 toefl,8007,9024,s:jellies/p:jellied/i:jellying/3:jellies/d:jellied,,
jewellery,'dʒu:әlri,n an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems),"n. 宝石, 贵重饰物, 珠宝, 宝石饰物, 受珍视的人/物, 宝贝, 有价值的人/物",,2,1,cet6,4762,34122,,,
Jewish,'dʒu:iʃ,a. of or relating to Jews or their culture or religion,"a. 犹太人的, 犹太族的",,,,cet4 cet6,3318,1795,,,
job,dʒɒb,"n. a specific piece of work required to be done as a duty or for a specific fee\nn. a workplace; as in the expression ""on the job""; \nn. an object worked on; a result produced by working\nn. the responsibility to do something","n. 工作, 零活, 职业, 事情\nvi. 做零工, 打杂, 做股票经纪, 假公济私\nvt. 代客买卖, 批发, 承包, 欺骗\n[计] 作业",,5,1,zk gk ielts,272,243,s:jobs/i:jobbing/p:jobbed/3:jobs/d:jobbed,,
jog,dʒɒg,n. a sharp change in direction\nn. a slow pace of running\nv. run for exercise\nv. give a slight push to,"n. 轻推, 轻撞, 慢跑\nv. 轻推, (使)蹒跚行进, (使)慢跑",,1,,gk cet6 ky toefl ielts gre,8826,8335,p:jogged/i:jogging/s:jogs/d:jogged/3:jogs,,
johnny,'dʒɒni,n `Johnny' was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback' derived from their grey Confederate uniforms,"n. 男人, 家伙",,,,,4239,0,s:johnnies,,
join,dʒɒin,v. become part of; become a member of a group or organization\nv. cause to become joined or linked\nv. come into the company of\nv. make contact or come together,"vi. 参加, 结合, 加入\nvt. 连接, 结合, 参加, 加入\nn. 连接, 结合, 接合点\n[计] 连接; 汇合指令",,5,1,zk gk toefl,578,505,p:joined/d:joined/i:joining/3:joins/s:joins,,
joint,dʒɒint,n. (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)\nn. a disreputable place of entertainment\nn. junction by which parts or objects are joined together\nn. marijuana leaves rolled into a cigarette for smoking,"n. 连接处, 接合, 关节\na. 共同的, 联合的, 连接的, 合办的\nvt. 连接, 接合, 使有接头\nvi. 贴合, 长节",,4,1,cet4 cet6 ky,1489,2218,s:joints/d:jointed/i:jointing/p:jointed/3:joints,,
joke,dʒәuk,n. a humorous anecdote or remark intended to provoke laughter\nn. a triviality not to be taken seriously\nv. tell a joke; speak humorously\nv. act in a funny or teasing way,"n. 笑话, 玩笑, 笑柄\nv. 开玩笑, 取笑, 作弄",,3,1,zk gk cet4 ky,2533,2246,s:jokes/i:joking/p:joked/3:jokes/d:joked,,
Joseph,'dʒәuzif,"n. leader of the Nez Perce in their retreat from United States troops (1840-1904)\nn. (Old Testament) the 11th son of Jacob and one of the 12 patriarchs of Israel; Jacob gave Joseph a coat of many colors, which made his brothers jealous and they sold him into slavery in Egypt\nn. (New Testament) husband of Mary and (in Christian belief) the foster father of Jesus",n. 约瑟夫（男子名）；约瑟（圣经中雅各的第十一子）,,,,,2716,0,,,
jostle,'dʒɒsl,"n. the act of jostling (forcing your way by pushing)\nv. make one's way by jostling, pushing, or shoving\nv. come into rough contact with while moving","n. 推挤, 冲撞\nvi. 推挤, 冲撞\nvt. 推, 挤, 煽动",,1,,,11490,13188,i:jostling/p:jostled/d:jostled/3:jostles/s:jostles,,
journalist,'dʒә:nәlist,n. a writer for newspapers and magazines,"n. 新闻记者, 从事新闻杂志业的人",,4,1,gk cet4 cet6 ky toefl ielts,2607,2099,s:journalists,,
joy,dʒɒi,n. the emotion of great happiness\nn. something or someone that provides a source of happiness,"n. 欢喜, 乐事, 高兴\nvt. 使快乐, 令人高兴\nvi. 欢喜",,3,1,zk gk cet4 ky,2881,2816,s:joys/i:joying/p:joyed/3:joys/d:joyed,,
jubilee,'dʒubili:,n. a special anniversary (or the celebration of it),"n. 五十周年纪念/庆祝, 二十五周年纪念/庆祝, 欢乐的佳节, 欢庆日, 狂欢节",,1,,,8916,21864,s:jubilees,,
judge,dʒʌdʒ,n. a public official authorized to decide questions brought before a court of justice\nv. determine the result of (a competition)\nv. put on trial or hear a case and sit as the judge at the trial of,"n. 法官, 裁判员, 审判官, 鉴定人\nvt. 审理, 鉴定, 判断, 判决, 裁定\nvi. 下判断, 作评价",,4,1,gk cet4 cet6 ky,1362,1115,s:judges/d:judged/i:judging/p:judged/3:judges,,
judiciary,dʒu:'diʃiәri,n. persons who administer justice\nn. the system of law courts that administer justice and constitute the judicial branch of government,"a. 司法的, 法院的, 法官的\nn. 司法部, 司法系统, 法官",,2,,,9209,9959,s:judiciaries,,
jug,dʒʌg,n. a large bottle with a narrow mouth\nn. the quantity contained in a jug\nv. stew in an earthenware jug,"n. 水壶, 监牢, 模仿夜莺的叫声\nvt. 放入壶中, 炖, 关押\nvi. 模仿夜莺叫",,1,,cet6 ky toefl,7211,9618,s:jugs/i:jugging/p:jugged/3:jugs/d:jugged,,
jugal,'dʒu:gәl,"a. Relating to a yoke, or to marriage.\na. Pertaining to, or in the region of, the malar, or cheek\n   bone.","a. 面颊的, 颧骨的\n[医] 轭的, 颧骨的",,,,,0,0,,,
juger,,"n. A Roman measure of land, measuring 28,800 square feet, or\n   240 feet in length by 120 in breadth.","审判, 审理, 审讯；判决；裁判, 仲裁, 裁决；识别, 判断；评论, 评价, 认为, 估计\n(＋de) 评论, 评价, 评定, 鉴别；判断, 估计；设想, 想像\n判决",,,,,0,0,,,
juggle,dʒʌgl,n. the act of rearranging things to give a misleading impression\nn. throwing and catching several objects simultaneously\nv. influence by slyness\nv. manipulate by or as if by moving around components,"vi. 玩戏法, 行骗, 篡改\nvt. 耍弄, 歪曲, 篡改\nn. 玩戏法, 魔术, 欺骗",,1,,ky,11109,9584,i:juggling/p:juggled/3:juggles/d:juggled,,
juice,dʒu:s,n. the liquid part that can be extracted from plant or animal tissue by squeezing or cooking\nn. energetic vitality\nn. electric current\nn. any of several liquids of the body,"n. 汁, 活力, 体液\nvt. 挤出汁来, 加汁",,3,1,zk gk toefl ielts,3724,2310,s:juices,,
jump,dʒʌmp,n. a sudden and decisive increase\nn. (film) an abrupt transition from one scene to another\nn. descent with a parachute\nn. the act of jumping; propelling yourself off the ground,"n. 跳跃, 跳动, 暴涨, 惊跳\nvt. 跳跃, 跃过, 突升, 使跳跃\nvi. 跳跃, 跳, 跳动, 暴涨\n[计] 转移, 跳转",,4,1,zk gk,1784,1346,p:jumped/i:jumping/d:jumped/3:jumps/s:jumps,,
junctional,,,"a. 连接, 接合, 接合点, 枢纽站, 汇合处, 联轨点, 交接处, 交叉点, 中继线, 接头\n[医] 结合的, 接合的",,,,,0,0,,,
junior,'dʒu:njә,n. term of address for a disrespectful and annoying male\nn. a third-year undergraduate\nn. the younger of two persons\nn. a son who has the same first name as his father,"n. 年少者, 地位较低者, 大学三年级学生\na. 年少的, 下级的, 后进的",,3,1,gk cet4 cet6 ky ielts,2820,2451,s:juniors,,
jurat,'dʒuәræt,"n. A person under oath; specifically, an officer of the nature\n   of an alderman, in certain municipal corporations in England.\nn. The memorandum or certificate at the end of an asffidavit,\n   or a bill or answer in chancery, showing when, before whom, and (in\n   English practice), where, it was sworn or affirmed.","n. 地方法官, 治安推事, 市政长官,[律]宣誓证明(附于宣誓书后,证明宣誓时间、地点和监誓人等)",,,,,0,0,s:jurats,,
jurats,,"-s form of jurat\nn. A person under oath; specifically, an officer of the nature\n   of an alderman, in certain municipal corporations in England.\nn. The memorandum or certificate at the end of an asffidavit,\n   or a bill or answer in chancery, showing when, before whom, and (in\n   English practice), where, it was sworn or affirmed.","(jurat 的第三人称 -s形式) n.地方法官, 治安推事, 市政长官,[律]宣誓证明(附于宣誓书后,证明宣誓时间、地点和监誓人等)",,,,,0,0,0:jurat/1:s,,
jurel,hu:'rel,"n. A yellow carangoid fish of the Atlantic and Gulf coasts\n   (Caranx chrysos), most abundant southward, where it is valued as a food\n   fish; -- called also hardtail, horse crevalle, jack, buffalo jack,\n   skipjack, yellow mackerel, and sometimes, improperly, horse mackerel.\n   Other species of Caranx (as C. fallax) are also sometimes called jurel.","n. [鱼]鲹科鲥鱼, 长面鲹",,,,,0,0,,,
jury,'dʒuәri,n. a body of citizens sworn to give a true verdict according to the evidence presented in a court of law\nn. a committee appointed to judge a competition,"n. 陪审团, 评判委员会\na. 应急的",,3,,cet4 cet6 ky toefl ielts,3055,1650,s:juries,,
justifiable,'dʒʌstifaiәbl,s. capable of being justified,"a. 可辩解的, 可证明的, 有理的\n[法] 正当的, 不可非议的, 可办明的",,1,,gre,11419,15440,,,
juvenile,'dʒu:vinail,"n. a young person, not fully developed\na. of or relating to or characteristic of or appropriate for children or young people","n. 少年, 少年读物\na. 少年的, 不成熟的, 适于少年的",,2,,ky toefl ielts gre,7801,5261,s:juveniles,,
